"Date";"Value"
"03/01/1966";40,33999
"04/01/1966";39,268
"05/01/1966";39,268
"06/01/1966";39,26763
"07/01/1966";39,621
"08/01/1966";39,621
"09/01/1966";39,62091
"10/01/1966";39,52
"11/01/1966";39,52
"12/01/1966";39,51977
"01/01/1967";39,204
"02/01/1967";39,204
"03/01/1967";39,20383
"04/01/1967";38,033
"05/01/1967";38,033
"06/01/1967";38,03292
"07/01/1967";38,821
"08/01/1967";38,821
"09/01/1967";38,82145
"10/01/1967";39,102
"11/01/1967";39,102
"12/01/1967";39,10231
"01/01/1968";38,43
"02/01/1968";38,43
"03/01/1968";38,42951
"04/01/1968";36,964
"05/01/1968";36,964
"06/01/1968";36,96379
"07/01/1968";37,309
"08/01/1968";37,309
"09/01/1968";37,30897
"10/01/1968";36,985
"11/01/1968";36,985
"12/01/1968";36,98532
"01/01/1969";36,196
"02/01/1969";36,196
"03/01/1969";36,19577
"04/01/1969";34,974
"05/01/1969";34,974
"06/01/1969";34,97403
"07/01/1969";35,019
"08/01/1969";35,019
"09/01/1969";35,01946
"10/01/1969";35,47
"11/01/1969";35,47
"12/01/1969";35,46954
"01/01/1970";35,389
"02/01/1970";35,389
"03/01/1970";35,38879
"04/01/1970";34,673
"05/01/1970";34,673
"06/01/1970";34,67329
"07/01/1970";34,867
"08/01/1970";34,867
"09/01/1970";34,86717
"10/01/1970";35,748
"11/01/1970";35,748
"12/01/1970";35,74822
"01/01/1971";34,503
"02/01/1971";34,503
"03/01/1971";34,50345
"04/01/1971";34,361
"05/01/1971";34,361
"06/01/1971";34,36089
"07/01/1971";35,007
"08/01/1971";35,007
"09/01/1971";35,00694
"10/01/1971";35,632
"11/01/1971";35,632
"12/01/1971";35,63237
"01/01/1972";34,726
"02/01/1972";34,726
"03/01/1972";34,72622
"04/01/1972";33,674
"05/01/1972";33,674
"06/01/1972";33,67383
"07/01/1972";33,624
"08/01/1972";33,624
"09/01/1972";33,62447
"10/01/1972";33,748
"11/01/1972";33,748
"12/01/1972";33,74758
"01/01/1973";33,293
"02/01/1973";33,293
"03/01/1973";33,29287
"04/01/1973";32,345
"05/01/1973";32,345
"06/01/1973";32,34466
"07/01/1973";32,125
"08/01/1973";32,125
"09/01/1973";32,12455
"10/01/1973";31,774
