"Date";"Value"
"11/16/1972";128,4
"11/17/1972";128,4
"11/20/1972";128,4
"11/21/1972";127
"11/27/1972";127,1
"11/28/1972";127,1
"11/29/1972";127,1
"11/30/1972";127,1
"12/01/1972";128
"12/04/1972";128
"12/05/1972";128
"12/06/1972";130
"12/07/1972";130
"12/08/1972";134
"12/11/1972";138
"12/12/1972";138
"12/13/1972";138
"12/14/1972";138
"12/15/1972";138
"12/18/1972";138,5
"12/19/1972";138,5
"12/20/1972";138,5
"12/21/1972";137
"12/22/1972";138,5
"12/26/1972";137
"12/27/1972";142
"12/29/1972";144
"01/02/1973";144
"01/03/1973";145
"01/04/1973";145
"01/05/1973";145
"01/08/1973";146
"01/09/1973";147
"01/10/1973";152
"01/11/1973";147
"01/12/1973";147
"01/15/1973";142,5
"01/16/1973";142
"01/17/1973";144
"01/18/1973";145
"01/19/1973";146
"01/22/1973";145
"01/23/1973";145
"01/24/1973";145
"01/26/1973";147,3
"01/29/1973";145
"01/30/1973";143
"01/31/1973";145
"02/01/1973";146,2
"02/02/1973";147,3
"02/05/1973";151,5
"02/06/1973";153
"02/07/1973";152,3
"02/08/1973";155
"02/09/1973";158
"02/12/1973";162
"02/13/1973";157
"02/14/1973";157
"02/15/1973";158,7
"02/16/1973";156,5
"02/20/1973";158,5
"02/21/1973";163,4
"02/22/1973";163,1
"02/23/1973";162
"02/26/1973";160
"02/27/1973";158
"02/28/1973";158
"03/01/1973";159,5
"03/02/1973";158,9
"03/05/1973";159,2
"03/06/1973";159
"03/07/1973";161
"03/08/1973";166
"03/09/1973";166
"03/12/1973";171
"03/13/1973";171,5
"03/14/1973";167,9
"03/15/1973";167,9
"03/16/1973";170
"03/19/1973";171,5
"03/20/1973";169,2
"03/21/1973";168
"03/22/1973";168,5
"03/23/1973";168,5
"03/26/1973";163,5
"03/27/1973";158,5
"03/28/1973";162
"03/29/1973";159
"03/30/1973";162,8
"04/02/1973";162,5
"04/03/1973";161,5
"04/04/1973";161,5
"04/05/1973";157
"04/06/1973";158,1
"04/09/1973";159,75
"04/10/1973";159,3
"04/11/1973";157
"04/12/1973";157
"04/13/1973";157,5
"04/16/1973";158,5
"04/17/1973";162
"04/18/1973";158,5
"04/19/1973";158,5
"04/23/1973";156,4
"04/24/1973";156,5
"04/25/1973";154,4
"04/26/1973";154
"04/27/1973";151,4
"04/30/1973";151,8
"05/01/1973";147,7
"05/02/1973";144,5
"05/03/1973";141
"05/04/1973";138,5
"05/07/1973";135
"05/08/1973";136
"05/09/1973";140
"05/10/1973";135
"05/11/1973";130
"05/14/1973";130,5
"05/15/1973";125,5
"05/16/1973";120,5
"05/17/1973";116,5
"05/18/1973";121,5
"05/21/1973";126,5
"05/22/1973";131,5
"05/23/1973";133,3
"05/24/1973";138,3
"05/25/1973";143,3
"05/29/1973";140
"05/30/1973";139
"05/31/1973";137
"06/01/1973";137,5
"06/04/1973";132,5
"06/05/1973";127,6
"06/06/1973";123,8
"06/07/1973";126,3
"06/08/1973";123,5
"06/11/1973";126,9
"06/12/1973";131,7
"06/13/1973";129,2
"06/14/1973";129,2
"06/15/1973";126,7
"06/18/1973";130,8
"06/19/1973";128,3
"06/20/1973";125,1
"06/21/1973";126,5
"06/22/1973";126,3
"06/25/1973";126,4
"06/26/1973";126,2
"06/27/1973";124,2
"06/28/1973";125,5
"06/29/1973";125,2
"07/02/1973";120,4
"07/03/1973";119,5
"07/05/1973";121,8
"07/06/1973";125,6
"07/09/1973";123,4
"07/10/1973";123
"07/11/1973";128
"07/12/1973";131,5
"07/13/1973";129,9
"07/16/1973";134,9
"07/17/1973";136
"07/18/1973";139,4
"07/19/1973";144,4
"07/20/1973";139,4
"07/23/1973";144,4
"07/24/1973";141,5
"07/25/1973";142,9
"07/26/1973";146
"07/27/1973";147,3
"07/30/1973";145,2
"07/31/1973";142,2
"08/01/1973";141,3
"08/02/1973";145,2
"08/03/1973";147,9
"08/06/1973";150,4
"08/07/1973";151,1
"08/08/1973";152
"08/09/1973";152,4
"08/10/1973";154,6
"08/13/1973";155
"08/14/1973";150
"08/15/1973";147,3
"08/16/1973";152,3
"08/17/1973";154,3
"08/20/1973";153,3
"08/21/1973";152,2
"08/22/1973";154
"08/23/1973";159
"08/24/1973";161
"08/27/1973";156,1
"08/28/1973";152,58
"08/29/1973";150,34
"08/30/1973";145,26
