"Date";"Value"
"01/01/1948";3,4
"02/01/1948";3,8
"03/01/1948";4
"04/01/1948";3,9
"05/01/1948";3,5
"06/01/1948";3,6
"07/01/1948";3,6
"08/01/1948";3,9
"09/01/1948";3,8
"10/01/1948";3,7
"11/01/1948";3,8
"12/01/1948";4
"01/01/1949";4,3
"02/01/1949";4,7
"03/01/1949";5
"04/01/1949";5,3
"05/01/1949";6,1
"06/01/1949";6,2
"07/01/1949";6,7
"08/01/1949";6,8
"09/01/1949";6,6
"10/01/1949";7,9
"11/01/1949";6,4
"12/01/1949";6,6
"01/01/1950";6,5
"02/01/1950";6,4
"03/01/1950";6,3
"04/01/1950";5,8
"05/01/1950";5,5
"06/01/1950";5,4
"07/01/1950";5
"08/01/1950";4,5
"09/01/1950";4,4
"10/01/1950";4,2
"11/01/1950";4,2
"12/01/1950";4,3
"01/01/1951";3,7
"02/01/1951";3,4
"03/01/1951";3,4
"04/01/1951";3,1
"05/01/1951";3
"06/01/1951";3,2
"07/01/1951";3,1
"08/01/1951";3,1
"09/01/1951";3,3
"10/01/1951";3,5
"11/01/1951";3,5
"12/01/1951";3,1
"01/01/1952";3,2
"02/01/1952";3,1
"03/01/1952";2,9
"04/01/1952";2,9
"05/01/1952";3
"06/01/1952";3
"07/01/1952";3,2
"08/01/1952";3,4
"09/01/1952";3,1
"10/01/1952";3
"11/01/1952";2,8
"12/01/1952";2,7
"01/01/1953";2,9
"02/01/1953";2,6
"03/01/1953";2,6
"04/01/1953";2,7
"05/01/1953";2,5
"06/01/1953";2,5
"07/01/1953";2,6
"08/01/1953";2,7
"09/01/1953";2,9
"10/01/1953";3,1
"11/01/1953";3,5
"12/01/1953";4,5
"01/01/1954";4,9
"02/01/1954";5,2
"03/01/1954";5,7
"04/01/1954";5,9
"05/01/1954";5,9
"06/01/1954";5,6
"07/01/1954";5,8
"08/01/1954";6
"09/01/1954";6,1
"10/01/1954";5,7
"11/01/1954";5,3
"12/01/1954";5
"01/01/1955";4,9
"02/01/1955";4,7
"03/01/1955";4,6
"04/01/1955";4,7
"05/01/1955";4,3
"06/01/1955";4,2
"07/01/1955";4
"08/01/1955";4,2
"09/01/1955";4,1
"10/01/1955";4,3
"11/01/1955";4,2
"12/01/1955";4,2
"01/01/1956";4
"02/01/1956";3,9
"03/01/1956";4,2
"04/01/1956";4
"05/01/1956";4,3
"06/01/1956";4,3
"07/01/1956";4,4
"08/01/1956";4,1
"09/01/1956";3,9
"10/01/1956";3,9
"11/01/1956";4,3
"12/01/1956";4,2
"01/01/1957";4,2
"02/01/1957";3,9
"03/01/1957";3,7
"04/01/1957";3,9
"05/01/1957";4,1
"06/01/1957";4,3
"07/01/1957";4,2
"08/01/1957";4,1
"09/01/1957";4,4
"10/01/1957";4,5
"11/01/1957";5,1
"12/01/1957";5,2
"01/01/1958";5,8
"02/01/1958";6,4
"03/01/1958";6,7
"04/01/1958";7,4
"05/01/1958";7,4
"06/01/1958";7,3
"07/01/1958";7,5
"08/01/1958";7,4
"09/01/1958";7,1
"10/01/1958";6,7
"11/01/1958";6,2
"12/01/1958";6,2
"01/01/1959";6
"02/01/1959";5,9
"03/01/1959";5,6
"04/01/1959";5,2
"05/01/1959";5,1
"06/01/1959";5
"07/01/1959";5,1
"08/01/1959";5,2
"09/01/1959";5,5
"10/01/1959";5,7
"11/01/1959";5,8
"12/01/1959";5,3
"01/01/1960";5,2
"02/01/1960";4,8
"03/01/1960";5,4
"04/01/1960";5,2
"05/01/1960";5,1
"06/01/1960";5,4
"07/01/1960";5,5
"08/01/1960";5,6
"09/01/1960";5,5
"10/01/1960";6,1
"11/01/1960";6,1
"12/01/1960";6,6
"01/01/1961";6,6
"02/01/1961";6,9
"03/01/1961";6,9
"04/01/1961";7
"05/01/1961";7,1
"06/01/1961";6,9
"07/01/1961";7
"08/01/1961";6,6
"09/01/1961";6,7
"10/01/1961";6,5
"11/01/1961";6,1
"12/01/1961";6
"01/01/1962";5,8
"02/01/1962";5,5
"03/01/1962";5,6
"04/01/1962";5,6
"05/01/1962";5,5
"06/01/1962";5,5
"07/01/1962";5,4
"08/01/1962";5,7
"09/01/1962";5,6
"10/01/1962";5,4
"11/01/1962";5,7
"12/01/1962";5,5
"01/01/1963";5,7
"02/01/1963";5,9
"03/01/1963";5,7
"04/01/1963";5,7
"05/01/1963";5,9
"06/01/1963";5,6
"07/01/1963";5,6
"08/01/1963";5,4
"09/01/1963";5,5
"10/01/1963";5,5
"11/01/1963";5,7
"12/01/1963";5,5
"01/01/1964";5,6
"02/01/1964";5,4
"03/01/1964";5,4
"04/01/1964";5,3
"05/01/1964";5,1
"06/01/1964";5,2
"07/01/1964";4,9
"08/01/1964";5
"09/01/1964";5,1
"10/01/1964";5,1
"11/01/1964";4,8
"12/01/1964";5
"01/01/1965";4,9
"02/01/1965";5,1
"03/01/1965";4,7
"04/01/1965";4,8
"05/01/1965";4,6
"06/01/1965";4,6
"07/01/1965";4,4
"08/01/1965";4,4
"09/01/1965";4,3
"10/01/1965";4,2
"11/01/1965";4,1
"12/01/1965";4
"01/01/1966";4
"02/01/1966";3,8
"03/01/1966";3,8
"04/01/1966";3,8
"05/01/1966";3,9
"06/01/1966";3,8
"07/01/1966";3,8
"08/01/1966";3,8
"09/01/1966";3,7
"10/01/1966";3,7
"11/01/1966";3,6
"12/01/1966";3,8
"01/01/1967";3,9
"02/01/1967";3,8
"03/01/1967";3,8
"04/01/1967";3,8
"05/01/1967";3,8
"06/01/1967";3,9
"07/01/1967";3,8
"08/01/1967";3,8
"09/01/1967";3,8
"10/01/1967";4
"11/01/1967";3,9
"12/01/1967";3,8
"01/01/1968";3,7
"02/01/1968";3,8
"03/01/1968";3,7
"04/01/1968";3,5
"05/01/1968";3,5
"06/01/1968";3,7
"07/01/1968";3,7
"08/01/1968";3,5
"09/01/1968";3,4
"10/01/1968";3,4
"11/01/1968";3,4
"12/01/1968";3,4
"01/01/1969";3,4
"02/01/1969";3,4
"03/01/1969";3,4
"04/01/1969";3,4
"05/01/1969";3,4
"06/01/1969";3,5
"07/01/1969";3,5
"08/01/1969";3,5
"09/01/1969";3,7
"10/01/1969";3,7
"11/01/1969";3,5
"12/01/1969";3,5
"01/01/1970";3,9
"02/01/1970";4,2
"03/01/1970";4,4
"04/01/1970";4,6
"05/01/1970";4,8
"06/01/1970";4,9
"07/01/1970";5
"08/01/1970";5,1
"09/01/1970";5,4
"10/01/1970";5,5
"11/01/1970";5,9
"12/01/1970";6,1
"01/01/1971";5,9
"02/01/1971";5,9
"03/01/1971";6
"04/01/1971";5,9
"05/01/1971";5,9
"06/01/1971";5,9
"07/01/1971";6
"08/01/1971";6,1
"09/01/1971";6
"10/01/1971";5,8
